Record,Concept,XPath,Content
00759-metadata.xml,Resource Title,/dryad:DryadDataFile/dcterms:title,"Functional Ecology data file 2"
00759-metadata.xml,Resource Creation/Revision Date,/dryad:DryadDataFile/dcterms:dateSubmitted,"2013-11-11T16:52:13Z"
00759-metadata.xml,Abstract,/dryad:DryadDataFile/dcterms:description,"Hatchling lenght and yolk sac dimensions"
00759-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Clark, Emily S."
00759-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Pompini, Manuel"
00759-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Marques da Cunha, Lucas"
00759-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Wedekind, Claus"
00759-metadata.xml,Publication Date,/dryad:DryadDataFile/dcterms:available,"2013-11-11T16:52:13Z"
00759-metadata.xml,Resource Creation Date,/dryad:DryadDataFile/dcterms:dateSubmitted,"2013-11-11T16:52:13Z"
00759-metadata.xml,Resource Identifier,/dryad:DryadDataFile/dcterms:identifier,"http://dx.doi.org/10.5061/dryad.t91gr/2"
00759-metadata.xml,Resource Identifier,/dryad:DryadDataFile/dcterms:identifier,"http://dx.doi.org/10.5061/dryad.t91gr/2"
00759-metadata.xml,Related Resource Identifier,/dryad:DryadDataFile/dcterms:isPartOf,"http://dx.doi.org/10.5061/dryad.t91gr"
00759-metadata.xml,Parent Identifier,/dryad:DryadDataFile/dcterms:isPartOf,"http://dx.doi.org/10.5061/dryad.t91gr"
00759-metadata.xml,Lineage Statement,/dryad:DryadDataFile/dcterms:provenance,"Step: dryadAcceptEditReject - action:dryadAcceptEditRejectAction Entered publication blackout by Dryad Queue(dryad.queue@gmail.com) on 2013-10-22T18:29:35Z (GMT)"
00759-metadata.xml,Lineage Statement,/dryad:DryadDataFile/dcterms:provenance,"Made available in DSpace on 2013-11-11T16:52:13Z (GMT). No. of bitstreams: 1 Functional Ecology data file 2.txt: 1001674 bytes, checksum: ff70d44cf546adc011c02e422a15b6d1 (MD5)"
00759-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Clark, Emily S."
00759-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Pompini, Manuel"
00759-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Marques da Cunha, Lucas"
00759-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Wedekind, Claus"
00759-metadata.xml,Rights,/dryad:DryadDataFile/dcterms:rights,"http://creativecommons.org/publicdomain/zero/1.0/"
00759-metadata.xml,Resource Type,/dryad:DryadDataFile/dcterms:type,"file"
00759-metadata.xml,Temporal Extent,/dryad:DryadDataFile/dcterms:temporal,"Holocene"
00759-metadata.xml,Resource Lineage,/dryad:DryadDataFile/dcterms:provenance,"Step: dryadAcceptEditReject - action:dryadAcceptEditRejectAction Entered publication blackout by Dryad Queue(dryad.queue@gmail.com) on 2013-10-22T18:29:35Z (GMT)"
00759-metadata.xml,Resource Lineage,/dryad:DryadDataFile/dcterms:provenance,"Made available in DSpace on 2013-11-11T16:52:13Z (GMT). No. of bitstreams: 1 Functional Ecology data file 2.txt: 1001674 bytes, checksum: ff70d44cf546adc011c02e422a15b6d1 (MD5)"
00759-metadata.xml,Spatial Extent,/dryad:DryadDataFile/dcterms:spatial,"Lake Geneva"
00759-metadata.xml,Spatial Extent,/dryad:DryadDataFile/dcterms:spatial,"Switzerland"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"Coregonus"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"salmonid"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"quantitative genetics"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"host-pathogen interaction"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"reaction norms"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"heritability"
00759-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"susceptibility to infection"
00759-metadata.xml,Taxonomic Extent,/dryad:DryadDataFile/dwc:scientificName,"Coregonus palaea"
00759-metadata.xml,Embargo Date,/dryad:DryadDataFile/dcterms:available,"2013-11-11T16:52:13Z"
00760-metadata.xml,Resource Title,/dryad:DryadDataFile/dcterms:title,"Young&Blob_TurtleFemurStrainData_Dryad"
00760-metadata.xml,Resource Creation/Revision Date,/dryad:DryadDataFile/dcterms:dateSubmitted,"2015-06-04T15:37:59Z"
00760-metadata.xml,Abstract,/dryad:DryadDataFile/dcterms:description,"Peak strain data from turtle femoral mid-shafts during swimming and terrestrial walking."
00760-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Young, Vanessa K. Hilliard"
00760-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Blob, Richard W."
00760-metadata.xml,Publication Date,/dryad:DryadDataFile/dcterms:available,"2015-06-17T18:46:30Z"
00760-metadata.xml,Resource Creation Date,/dryad:DryadDataFile/dcterms:dateSubmitted,"2015-06-04T15:37:59Z"
00760-metadata.xml,Resource Identifier,/dryad:DryadDataFile/dcterms:identifier,"http://dx.doi.org/10.5061/dryad.0jd3t/1"
00760-metadata.xml,Related Resource Identifier,/dryad:DryadDataFile/dcterms:isPartOf,"http://dx.doi.org/10.5061/dryad.0jd3t"
00760-metadata.xml,Parent Identifier,/dryad:DryadDataFile/dcterms:isPartOf,"http://dx.doi.org/10.5061/dryad.0jd3t"
00760-metadata.xml,Lineage Statement,/dryad:DryadDataFile/dcterms:provenance,"Made available in DSpace on 2015-06-04T15:37:59Z (GMT). No. of bitstreams: 1 Young&Blob_TurtleFemurStrainData_Dryad.xls: 100864 bytes, checksum: 69c262464e6c6e20836fe6b2611161b9 (MD5)"
00760-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Young, Vanessa K. Hilliard"
00760-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Blob, Richard W."
00760-metadata.xml,Resource Format,/dryad:DryadDataFile/dcterms:format,"100864"
00760-metadata.xml,Rights,/dryad:DryadDataFile/dcterms:rights,"http://creativecommons.org/publicdomain/zero/1.0/"
00760-metadata.xml,Distribution Format,/dryad:DryadDataFile/dcterms:format,"100864"
00760-metadata.xml,Resource Type,/dryad:DryadDataFile/dcterms:type,"file"
00760-metadata.xml,Resource Lineage,/dryad:DryadDataFile/dcterms:provenance,"Made available in DSpace on 2015-06-04T15:37:59Z (GMT). No. of bitstreams: 1 Young&Blob_TurtleFemurStrainData_Dryad.xls: 100864 bytes, checksum: 69c262464e6c6e20836fe6b2611161b9 (MD5)"
00760-metadata.xml,Spatial Extent,/dryad:DryadDataFile/dcterms:spatial,"North America"
00760-metadata.xml,Spatial Extent,/dryad:DryadDataFile/dcterms:spatial,"South Carolina"
00760-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"locomotion"
00760-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"evolution"
00760-metadata.xml,Keyword,/dryad:DryadDataFile/dcterms:subject,"bone strain"
00760-metadata.xml,Taxonomic Extent,/dryad:DryadDataFile/dwc:scientificName,"Trachemys scripta"
00760-metadata.xml,Embargo Date,/dryad:DryadDataFile/dcterms:available,"2015-06-17T18:46:30Z"
00761-metadata.xml,Resource Title,/dryad:DryadDataFile/dcterms:title,"HostTree"
00761-metadata.xml,Resource Creation/Revision Date,/dryad:DryadDataFile/dcterms:dateSubmitted,"2013-10-01T16:29:49Z"
00761-metadata.xml,Abstract,/dryad:DryadDataFile/dcterms:description,"Phylogenetic tree (Newick format) of small mammals used for analyses in Hadfield et al. `A tale of two phylogenies: comparative analyses of ecological interactions'"
00761-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Hadfield, Jarrod D."
00761-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Krasnov, Boris R."
00761-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Poulin, Robert"
00761-metadata.xml,Author,/dryad:DryadDataFile/dcterms:creator,"Shinichi, Nakagawa"
00761-metadata.xml,Publication Date,/dryad:DryadDataFile/dcterms:available,"2014-01-03T18:42:26Z"
00761-metadata.xml,Resource Creation Date,/dryad:DryadDataFile/dcterms:dateSubmitted,"2013-10-01T16:29:49Z"
00761-metadata.xml,Resource Identifier,/dryad:DryadDataFile/dcterms:identifier,"http://dx.doi.org/10.5061/dryad.jf3tj/5"
00761-metadata.xml,Related Resource Identifier,/dryad:DryadDataFile/dcterms:isPartOf,"http://dx.doi.org/10.5061/dryad.jf3tj"
00761-metadata.xml,Parent Identifier,/dryad:DryadDataFile/dcterms:isPartOf,"http://dx.doi.org/10.5061/dryad.jf3tj"
00761-metadata.xml,Lineage Statement,/dryad:DryadDataFile/dcterms:provenance,"Made available in DSpace on 2013-10-01T16:29:49Z (GMT). No. of bitstreams: 1 HostTree.tre: 4135 bytes, checksum: 640fe7a7965649d39bec459cab5cbd3e (MD5)"
00761-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Hadfield, Jarrod D."
00761-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Krasnov, Boris R."
00761-metadata.xml,Author / Originator,/dryad:DryadDataFile/dcterms:creator,"Poulin, Robert"
