Record,XPath,Content
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"Magdalena Donahue"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20140926"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"Low-temperature Thermochronology Database: Apatite (U-Th)/He"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/geoform,"spreadsheet"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://nmepscor.org/data_portal/browse-data"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/AHE_MSD_20140825.original.xlsx"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.xml"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.html"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.xml"
02759-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.html"
02759-metadata.xml,/metadata/idinfo/descript/abstract,"This data contribution is a compilation of low-temperature apatite fission track (AFT) and (U-Th)/He thermochronology data from published (historical and current) and new unpublished sources. The regional scope of this data contribution is roughly the southern Rocky Mountains of New Mexico, Colorado and Wyoming with scattered data from surrounding Great Plains, northern plains and Colorado Plateau sites."
02759-metadata.xml,/metadata/idinfo/descript/purpose,"The purpose of this data contribution is to compile and provide easy access to published low-temperature thermochronologic data drawn from journal articles, student theses and dissertations, and new samples circa mid- 2014"
02759-metadata.xml,/metadata/idinfo/descript/supplinf,"These data are made available through New Mexico's Experimental Program to Stimulate Competitive Research (NM EPSCoR) data portal. The portal provides access to data generated by and of use to the EPSCoR community including researchers, educators, and policy leaders, as well as the general public."
02759-metadata.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"2010"
02759-metadata.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"2014"
02759-metadata.xml,/metadata/idinfo/timeperd/current,"Publication date"
02759-metadata.xml,/metadata/idinfo/status/progress,"Complete"
02759-metadata.xml,/metadata/idinfo/status/update,"Unknown"
02759-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-110.8598"
02759-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"-105.094833"
02759-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"44.91222"
02759-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"32.363833"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"Karl E. Karlstrom"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"low-temperature thermochronology"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"apatite fission track"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"apatite (U-Th)/He"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"utilitiesCommunications"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"Project"
02759-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"EPSCoR T1R4"
