Record,XPath,Content
02766-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"Zhou, Quan"
02766-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20150504"
02766-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"vortex2_vis_test_bag"
02766-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://seadva.d2i.indiana.edu:8181/sead-access/#entity;http://seadva.d2i.indiana.edu/sead-wf/entity/8326"
02766-metadata.xml,/metadata/idinfo/descript/abstract,"Daily Regional Weather Forecasts in Support of Vortex2. The visualization visually conveys points in space and time where weather forecast captured a confirmed tornado siting. The visualization uses times series and three-dimensional geospatial visualization techniques to display spatial distribution and temporal relation for Vortex2 data set. The video employs voice-over and text to convey importance of forecast in relation to actual weather."
02766-metadata.xml,/metadata/idinfo/descript/purpose,"Data related to study of Earth Surface Dynamics"
02766-metadata.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"20070101"
02766-metadata.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"20070101"
02766-metadata.xml,/metadata/idinfo/timeperd/current,"ground condition"
02766-metadata.xml,/metadata/idinfo/status/progress,"Complete"
02766-metadata.xml,/metadata/idinfo/status/update,"As needed"
02766-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-180.0"
02766-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"180.0"
02766-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"90.0"
02766-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"-90.0"
02766-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"None"
02766-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"Angelo Reserve"
02766-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"Eel Watershed"
02766-metadata.xml,/metadata/idinfo/keywords/place/placekt,"None"
02766-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Angelo Reserve"
02766-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Eel Watershed"
02766-metadata.xml,/metadata/idinfo/keywords/place/placekey,"North Fork Eel"
02766-metadata.xml,/metadata/idinfo/keywords/place/placekey,"South Fork Eel"
02766-metadata.xml,/metadata/idinfo/keywords/temporal/tempkt,"None"
02766-metadata.xml,/metadata/idinfo/keywords/temporal/tempkey,"Januray 2007"
02766-metadata.xml,/metadata/idinfo/accconst,"Public"
02766-metadata.xml,/metadata/idinfo/useconst,"Permission from Owner only"
02766-metadata.xml,/metadata/metainfo/metd,"20070101"
02766-metadata.xml,/metadata/metainfo/metc/cntinfo/cntperp/cntper,"null"
02766-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/addrtype,"Mailing"
02766-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/city,"Unknown"
02766-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/state,"Unknown"
02766-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/postal,"00000"
02766-metadata.xml,/metadata/metainfo/metc/cntinfo/cntvoice,"Unknown"
02766-metadata.xml,/metadata/metainfo/metstdn,"FGDC Standard for Digital Geospatial Metadata"
02766-metadata.xml,/metadata/metainfo/metstdv,"FGDC-STD-001-1998"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"Campbell, Karen"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"Morin, Paul"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20070101"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"3D Maps"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"MN USA"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/publish,"National Center for Earth-surface Dynamics Data Repository"
02767-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"https://repository.nced.umn.edu/browser.php?dataset_id=9"
02767-metadata.xml,/metadata/idinfo/descript/abstract,"NCED is currently involved in researching the effectiveness of anaglyph maps in the classroom and are working with educators and scientists to interpret various Earth-surface processes. Based on the findings of the research, various activities and interpretive information will be developed and available for educators to use in their classrooms. Keep checking back with this website because activities and maps are always being updated. We believe that anaglyph maps are an important tool in helping students see the world and are working to further develop materials and activities to support educators in their use of the maps."
02767-metadata.xml,/metadata/idinfo/descript/purpose,"scientific research tool"
02767-metadata.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/begdate,"Unknown"
02767-metadata.xml,/metadata/idinfo/timeperd/timeinfo/rngdates/enddate,"Unknown"
02767-metadata.xml,/metadata/idinfo/timeperd/current,"publication date"
02767-metadata.xml,/metadata/idinfo/status/progress,"In work"
02767-metadata.xml,/metadata/idinfo/status/update,"Irregular"
02767-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-180.0"
02767-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"180.0"
02767-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"90.0"
02767-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"-90.0"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"NASA Global Change Master Directory (GCMD) Science Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"EARTH SCIENCE > LAND SURFACE > TOPOGRAPHY"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"NASA Global Change Master Directory (GCMD) Science and Services Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"EARTH SCIENCE SERVICES > EDUCATION/OUTREACH"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"NASA Global Change Master Directory (GCMD) Science and Services Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"EARTH SCIENCE SERVICES > EDUCATION/OUTREACH > EXHIBIT MATERIALS"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Categories"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"imageryBaseMapsEarthCover"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"None"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"3D Maps"
02767-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"anaglyph maps"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > MINNESOTA"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > WISCONSIN"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > IOWA"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > NEW HAMPSHIRE"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > CALIFORNIA"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > OREGON"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > WASHINGTON"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > ARIZONA"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > DISTRICT OF COLUMBIA"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > NORTH AMERICA > UNITED STATES OF AMERICA > NEW JERSEY"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CONTINENT > EUROPE > NORTHERN EUROPE > BRITISH ISLES > IRELAND"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Global Change Master Directory (GCMD) Location Keywords"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"GEOGRAPHIC REGION > GLOBAL"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekt,"NASA Thesaurus: Volume 1 - Hierarchical Listing with Definitions"
02767-metadata.xml,/metadata/idinfo/keywords/place/placekey,"CELESTIAL BODIES > PLANETS > TERRESTRIAL PLANETS > MARS (PLANET)"
02767-metadata.xml,/metadata/idinfo/accconst,"You are free to download and use data from the NCED Data Repository providing you register, and include the citation below for all datasets. Where an additional citation accompanies a specific data set, please include it as well. Citation: National Center for Earth-surface Dynamics Data Repository http://www.nced.umn.edu/Data_Repository.html [add date you accessed the data]"
02767-metadata.xml,/metadata/idinfo/useconst,"See access constraints information"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntperp/cntper,"Karen Campbell"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntperp/cntorg,"National Center for Earth-surface Dynamics"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntpos,"Education Director"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/addrtype,"mailing"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"National Center for Earth-surface Dynamics"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"2 Third Avenue SE"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/city,"Minneapolis"
02767-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/state,"MN"
