Record,Concept,XPath,Content
01009-metadata.xml,Resource Title,/eml:eml/dataset/title,"Accelerated Weathering Effects on Bulk Interfacial Strength of Wood and Thermoplastics"
01009-metadata.xml,Abstract,/eml:eml/dataset/abstract,"Model composites of birch (B) and rubberwood (R) dowels and 5 types of thermoplastics, namely low-density polyethylene (LDPE), high-density polyethylene (HDPE), polypropylene (PP), polystyrene (PS), and high-impact polystyrene (HIPS), were used to evaluate the effect of weathering conditions on the bulk interfacial shear strength (ISS) of wood-plastic composites using a modified single-fiber pull-out test. Results showed that HDPE, PP, PS, and HIPS were more sensitive to the cyclic humidity tests, while LDPE was less influenced by either the water immersion or cyclic-humidity changes."
01009-metadata.xml,Resource Contact,/eml:eml/dataset/contact,"1164373620828"
01009-metadata.xml,Organization Name,/eml:eml/dataset/creator/organizationName,"Taiwan Forestry Research Institute"
01009-metadata.xml,Author,/eml:eml/dataset/creator,"Dr.Chin-YinHwangTaiwan Forestry Research InstituteAssociate Scientist53 Nan-Hai RdTaipeiTaiwan100ROC886-2-23039978 ext 3723chinyin@mail.tfri.gov.twhttp://www.tfri.gov.tw"
01009-metadata.xml,Author / Originator World Wide Web Address,/eml:eml/dataset/creator/electronicMailAddress,"chinyin@mail.tfri.gov.tw"
01009-metadata.xml,Resource Identifier,/eml:eml/@packageId,"chin.3.7"
01009-metadata.xml,Southernmost Latitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,"24.75"
01009-metadata.xml,Northernmost Latitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,"24.75"
01009-metadata.xml,Westernmost Longitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,"121.375"
01009-metadata.xml,Easternmost Longitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,"121.375"
01009-metadata.xml,Start Time,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,"2002"
