Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
LTER_2005,EML,00000-metadata.xml,Unknown,"knb-lter-bnz.53.18",/eml:eml/@packageId,Undefined
LTER_2005,EML,00000-metadata.xml,Unknown,"system",/eml:eml/@scope,Undefined
LTER_2005,EML,00000-metadata.xml,Unknown,"knb",/eml:eml/@system,Undefined
LTER_2005,EML,00000-metadata.xml,Unknown,"eml://ecoinformatics.org/eml-2.1.0 http://nis.lternet.edu/schemas/EML/eml-2.1.0/eml.xsd",/eml:eml/@xsi:schemaLocation,Undefined
LTER_2005,EML,00000-metadata.xml,Security Constraints,"uid=BNZ,o=lter,dc=ecoinformatics,dc=org all public read",/eml:eml/access,"/eml:eml/access"
LTER_2005,EML,00000-metadata.xml,Resource Access Constraints,"uid=BNZ,o=lter,dc=ecoinformatics,dc=org all public read",/eml:eml/access,"/eml:eml/access"
LTER_2005,EML,00000-metadata.xml,Metadata Access Constraints,"uid=BNZ,o=lter,dc=ecoinformatics,dc=org all public read",/eml:eml/access,"/eml:eml/access"
LTER_2005,EML,00000-metadata.xml,Metadata Use Constraints,"uid=BNZ,o=lter,dc=ecoinformatics,dc=org all public read",/eml:eml/access,"/eml:eml/access"
LTER_2005,EML,00000-metadata.xml,Resource Status,"uid=BNZ,o=lter,dc=ecoinformatics,dc=org all public read",/eml:eml/access,"/eml:eml/access"
LTER_2005,EML,00000-metadata.xml,Unknown,"knb-lter-bnz.53.18",/eml:eml/dataset/shortName,Undefined
LTER_2005,EML,00000-metadata.xml,Resource Title,"Soil respiration measurements along climate and black spruce productivity gradients in interior Alaska",/eml:eml/dataset/title,"/eml:eml/*/title"
LTER_2005,EML,00000-metadata.xml,Resource Long Name,"Soil respiration measurements along climate and black spruce productivity gradients in interior Alaska",/eml:eml/dataset/title,"/eml:eml/*/title"
LTER_2005,EML,00000-metadata.xml,Author,"Evan S. Kane Affiliate Scientist Michigan State University Dept. of Plant Biology East Lansing MI 48824 United States (907) 474-7471 citezenkane@gmail.com",/eml:eml/dataset/creator,"/eml:eml/*/creator"
LTER_2005,EML,00000-metadata.xml,Author / Originator,"Evan S. Kane Affiliate Scientist Michigan State University Dept. of Plant Biology East Lansing MI 48824 United States (907) 474-7471 citezenkane@gmail.com",/eml:eml/dataset/creator,"/eml:eml/*/creator"
LTER_2005,EML,00000-metadata.xml,Author,"Bonanza Creek LTER Boreal Ecology Cooperative Research Unit University of Alaska Fairbanks P.O. Box 756780 Fairbanks AK 99775 USA 907-474-6364 907-474-6251 uaf-bnz-im-team@alaska.edu http://www.lter.uaf.edu",/eml:eml/dataset/creator,"/eml:eml/*/creator"
LTER_2005,EML,00000-metadata.xml,Author / Originator,"Bonanza Creek LTER Boreal Ecology Cooperative Research Unit University of Alaska Fairbanks P.O. Box 756780 Fairbanks AK 99775 USA 907-474-6364 907-474-6251 uaf-bnz-im-team@alaska.edu http://www.lter.uaf.edu",/eml:eml/dataset/creator,"/eml:eml/*/creator"
LTER_2005,EML,00000-metadata.xml,Metadata Contact,"Bonanza Creek LTER Data Manager Boreal Ecology Cooperative Research Unit University of Alaska Fairbanks P.O. Box 756780 Fairbanks AK 99775 USA 907-474-6364 907-474-6251 uaf-bnz-im-team@alaska.edu http://www.lter.uaf.edu",/eml:eml/dataset/metadataProvider,"/eml:eml/*/metadataProvider"
LTER_2005,EML,00000-metadata.xml,Resource Creation/Revision Date,"2005-11-11",/eml:eml/dataset/pubDate,"/eml:eml/*/pubDate"
LTER_2005,EML,00000-metadata.xml,Publication Date,"2005-11-11",/eml:eml/dataset/pubDate,"/eml:eml/*/pubDate"
LTER_2005,EML,00000-metadata.xml,Abstract,"Soil respiration measurements were made using an infrared gas analyzer (IRGA; EGM-4 gas analyzer, PP Systems, Haverhill, MA) with a dynamic soil respiration chamber (SRC-2, PP Systems). Respiration collars (18) were randomly located on three 20 x 20 m sampling grids (separate from WSOC collection) at each site. The respiration collars (10.2 cm diameter schedule 40 polyvinyl chloride) were inserted to a depth of 2.5 cm at least 1 week prior to initial measurements and were left in place for the duration of the experiment. Care was taken to ensure that the collars remained at the same depth throughout the measurement period. All vascular plants were removed from the collars prior to measuring. Measurements were made approximately bi-weekly at each site, from May through September in 2004 (n = 5 or 6). A portable thermometer was used to measure soil temperature at 10 cm below the surface concurrently with soil respiration measured at each collar. Changes in collar-specific air volumes (caused by changes in microtopography and the presence of moss) were measured directly through use of the ideal gas law by injecting 25 cm-3 of 3500 mg m-3 CO2 into the soil respiration chamber and measuring the subsequent dilution of CO2 concentration with the IRGA. All flux values have been adjusted for these collar specific volumes.",/eml:eml/dataset/abstract,"/eml:eml/*/abstract"
LTER_2005,EML,00000-metadata.xml,Keyword,"dissolved organic carbon",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,'place'))andnot(contains(@keywordType,'place'))andnot(contains(@keywordType,'thematic'))andnot(contains(@keywordType,'temporal'))andnot(contains(@keywordType,'discipline'))andnot(contains(@keywordType,'stratum'))andnot(contains(@keywordType,'taxonomic'))]"
