Record,XPath,Content
lohrac.xml,/DIF/@xsi:schemaLocation,"http://gcmd.gsfc.nasa.gov/Aboutus/xml/dif/ http://gcmd.gsfc.nasa.gov/Aboutus/xml/dif/dif_v9.9.3.xsd"
lohrac.xml,/DIF/Entry_ID,"lohrac"
lohrac.xml,/DIF/Entry_Title,"LIS/OTD 0.5 Degree High Resolution Annual Climatology (HRAC)"
lohrac.xml,/DIF/Data_Set_Citation/Dataset_Title,"LIS/OTD 0.5 Degree High Resolution Annual Climatology (HRAC)"
lohrac.xml,/DIF/Data_Set_Citation/Online_Resource,"http://ghrc.nsstc.nasa.gov/"
lohrac.xml,/DIF/Personnel/Role,"INVESTIGATOR"
lohrac.xml,/DIF/Personnel/First_Name,"DANIEL"
lohrac.xml,/DIF/Personnel/Last_Name,"CECIL"
lohrac.xml,/DIF/Personnel/Email,"daniel.j.cecil@nasa.gov"
lohrac.xml,/DIF/Personnel/Phone,"256-961-7549"
lohrac.xml,/DIF/Personnel/Contact_Address/Address,"Global Hydrology and Climate Center"
lohrac.xml,/DIF/Personnel/Contact_Address/Address,"320 Sparkman Dr"
lohrac.xml,/DIF/Personnel/Contact_Address/City,"Huntsville"
lohrac.xml,/DIF/Personnel/Contact_Address/Province_or_State,"AL"
lohrac.xml,/DIF/Personnel/Contact_Address/Postal_Code,"35805"
lohrac.xml,/DIF/Personnel/Contact_Address/Country,"USA"
lohrac.xml,/DIF/Personnel/Role,"DIF AUTHOR"
lohrac.xml,/DIF/Personnel/First_Name,"SHERRY"
lohrac.xml,/DIF/Personnel/Last_Name,"HARRISON"
lohrac.xml,/DIF/Personnel/Email,"ghrcdaac@itsc.uah.edu"
lohrac.xml,/DIF/Personnel/Phone,"256-961-7973"
lohrac.xml,/DIF/Personnel/Contact_Address/Address,"320 Sparkman Dr."
lohrac.xml,/DIF/Personnel/Contact_Address/City,"Huntsville"
lohrac.xml,/DIF/Personnel/Contact_Address/Province_or_State,"AL"
lohrac.xml,/DIF/Personnel/Contact_Address/Postal_Code,"35805"
lohrac.xml,/DIF/Personnel/Contact_Address/Country,"USA"
lohrac.xml,/DIF/Parameters/@uuid,"637ac172-e624-4ae0-aac4-0d1adcc889a2"
lohrac.xml,/DIF/Parameters/Category,"EARTH SCIENCE"
lohrac.xml,/DIF/Parameters/Topic,"ATMOSPHERE"
lohrac.xml,/DIF/Parameters/Term,"ATMOSPHERIC ELECTRICITY"
lohrac.xml,/DIF/Parameters/Variable_Level_1,"LIGHTNING"
lohrac.xml,/DIF/Parameters/@uuid,"f24c4f33-5b89-4e8d-8de7-296078a7f18a"
lohrac.xml,/DIF/Parameters/Category,"EARTH SCIENCE"
lohrac.xml,/DIF/Parameters/Topic,"ATMOSPHERE"
lohrac.xml,/DIF/Parameters/Term,"ATMOSPHERIC PHENOMENA"
lohrac.xml,/DIF/Parameters/Variable_Level_1,"LIGHTNING"
lohrac.xml,/DIF/ISO_Topic_Category,"CLIMATOLOGY/METEOROLOGY/ATMOSPHERE"
lohrac.xml,/DIF/ISO_Topic_Category/@uuid,"1ebf71bd-d007-42f8-8f9b-8c44a6b65a28"
lohrac.xml,/DIF/Keyword,"EOSDIS"
lohrac.xml,/DIF/Sensor_Name/@uuid,"3a8a9d74-05f4-4e0c-9e4e-f5bc2acccfe7"
lohrac.xml,/DIF/Sensor_Name/Short_Name,"OTD"
lohrac.xml,/DIF/Sensor_Name/Long_Name,"Optical Transient Detector"
lohrac.xml,/DIF/Sensor_Name/@uuid,"447cb532-a56a-4d8a-b367-40aebcc1648d"
lohrac.xml,/DIF/Sensor_Name/Short_Name,"LIS"
lohrac.xml,/DIF/Sensor_Name/Long_Name,"Lightning Imaging Sensor"
lohrac.xml,/DIF/Source_Name/@uuid,"7a186060-a313-4047-ba21-27a0ffdff8e4"
lohrac.xml,/DIF/Source_Name/Short_Name,"MICROLAB-1"
lohrac.xml,/DIF/Source_Name/Long_Name,"OSC Microlab-1 Satellite"
lohrac.xml,/DIF/Source_Name/@uuid,"89c509e6-13f6-4d6e-b46c-0479d2c7d88d"
lohrac.xml,/DIF/Source_Name/Short_Name,"TRMM"
lohrac.xml,/DIF/Source_Name/Long_Name,"Tropical Rainfall Measuring Mission"
lohrac.xml,/DIF/Temporal_Coverage/Start_Date,"1995-05-04"
lohrac.xml,/DIF/Temporal_Coverage/Stop_Date,"2011-12-31"
lohrac.xml,/DIF/Data_Set_Progress,"COMPLETE"
lohrac.xml,/DIF/Spatial_Coverage/Southernmost_Latitude,"-90.0"
lohrac.xml,/DIF/Spatial_Coverage/Northernmost_Latitude,"90.0"
lohrac.xml,/DIF/Spatial_Coverage/Westernmost_Longitude,"-180.0"
lohrac.xml,/DIF/Spatial_Coverage/Easternmost_Longitude,"180.0"
lohrac.xml,/DIF/Project/@uuid,"90246f7d-8153-4ed4-92ec-16235bde5c71"
lohrac.xml,/DIF/Project/Short_Name,"CWIC"
lohrac.xml,/DIF/Project/Long_Name,"CEOS WGISS Integrated Catalog"
lohrac.xml,/DIF/Project/@uuid,"4dac8541-0c69-4cd5-ae70-eb8819f39715"
lohrac.xml,/DIF/Project/Short_Name,"EOSDIS"
lohrac.xml,/DIF/Project/Long_Name,"Earth Observing System Data Information System"
lohrac.xml,/DIF/Project/@uuid,"5f139d40-4050-4a8e-bd2b-fcae1cfe3d01"
lohrac.xml,/DIF/Project/Short_Name,"ESIP"
lohrac.xml,/DIF/Project/Long_Name,"Earth Science Information Partners Program"
lohrac.xml,/DIF/Project/@uuid,"05408c1b-88fe-4a96-9840-b1ef7a6ea382"
lohrac.xml,/DIF/Project/Short_Name,"LIS SCF"
lohrac.xml,/DIF/Project/Long_Name,"Lightning Imaging Sensor Sciece Computing Facility"
lohrac.xml,/DIF/Access_Constraints,"none"
lohrac.xml,/DIF/Data_Set_Language,"English"
lohrac.xml,/DIF/Data_Center/Data_Center_Name/@uuid,"da0a888d-cf97-45f5-99b3-6de866832935"
lohrac.xml,/DIF/Data_Center/Data_Center_Name/Short_Name,"NASA/MSFC/GHRC"
lohrac.xml,/DIF/Data_Center/Data_Center_Name/Long_Name,"Global Hydrology Resource Center, Marshall Space Flight Center, NASA"
lohrac.xml,/DIF/Data_Center/Data_Center_URL,"http://ghrc.nsstc.nasa.gov/"
lohrac.xml,/DIF/Data_Center/Data_Set_ID,"lohrac"
lohrac.xml,/DIF/Data_Center/Personnel/Role,"DATA CENTER CONTACT"
lohrac.xml,/DIF/Data_Center/Personnel/Last_Name,"GHRC USER SERVICES OFFICE"
lohrac.xml,/DIF/Data_Center/Personnel/Email,"ghrcdaac@itsc.uah.edu"
lohrac.xml,/DIF/Data_Center/Personnel/Phone,"256-961-7932"
lohrac.xml,/DIF/Data_Center/Personnel/Fax,"256-961-7859"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/Address,"GHRC User Services Office"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/Address,"Global Hydrology Resource Center (GHRC)"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/Address,"320 Sparkman Drive"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/City,"Huntsville"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/Province_or_State,"AL"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/Postal_Code,"35805"
lohrac.xml,/DIF/Data_Center/Personnel/Contact_Address/Country,"USA"
lohrac.xml,/DIF/Distribution/Distribution_Media,"FTP"
lohrac.xml,/DIF/Distribution/Distribution_Size,"205 Mb"
lohrac.xml,/DIF/Distribution/Distribution_Format,"HDF"
lohrac.xml,/DIF/Distribution/Fees,"none"
