Record,Concept,XPath,Content
daac.ornl.gov_mercury_harvest_1.xml,Resource Title,/metadata/idinfo/citation/citeinfo/title,"15 Minute Stream Flow Data: USGS (FIFE)"
daac.ornl.gov_mercury_harvest_1.xml,Abstract,/metadata/idinfo/descript/abstract,"The Fifteen Minute Stream Flow Data from the USGS Data Set contains 15 minute stream flow data from the USGS station located 2.9 miles upstream from the mouth of Kings Creek. The record extends from April 1, 1979 through September 2, 1988. The purpose of this data set was to provide accurate measurements of the stream flow from Kings Creek so that a water budget analysis for the northwest quadrant of the FIFE study area could be performed. The stilling pipe installed at the USGS station operates on the principle that the water level in a standpipe at a specific location within a stream bed can be converted to a volume of water in the stream bed. The tracking of the change in stream height with time then enables the calculation of stream flow."
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"DISCHARGE/FLOW|STILLING WELL|SURFACE WATER WEIR"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"STAGE HEIGHT|STILLING WELL|SURFACE WATER WEIR"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"DISCHARGE/FLOW"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"STAGE HEIGHT"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SURFACE WATER WEIR"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"SURFACE WATER WEIR"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"STILLING WELL"
daac.ornl.gov_mercury_harvest_1.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"STILLING WELL"
daac.ornl.gov_mercury_harvest_1.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Parameter_Sensor_Source"
daac.ornl.gov_mercury_harvest_1.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Parameter"
daac.ornl.gov_mercury_harvest_1.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Source"
daac.ornl.gov_mercury_harvest_1.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Sensor"
daac.ornl.gov_mercury_harvest_1.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo,"ORNL DAAC Staff ORNL DAAC Staff +1(865)241-3952 ornldaac@ornl.gov"
daac.ornl.gov_mercury_harvest_1.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"ORNL DAAC Staff"
daac.ornl.gov_mercury_harvest_1.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo/cntperp/cntper,"ORNL DAAC Staff"
daac.ornl.gov_mercury_harvest_1.xml,Resource Contact,/metadata/idinfo/ptcontac,"WOOD, E.F. 6.1.10.8 Contact Electronic Mail: INTERNET > xsl:value-of select='x_tags/Data_Originator/Investigator/Email' disable-output-escaping='yes' />"
daac.ornl.gov_mercury_harvest_1.xml,Resource Contact,/metadata/idinfo/ptcontac/cntinfo/cntperp/cntper,"WOOD, E.F."
daac.ornl.gov_mercury_harvest_1.xml,Resource Contact,/metadata/mercury/Contact_Person/Name,"ORNL DAAC User Services Office Oak Ridge National Laboratory Oak Ridge, Tennessee 37831 USA FAX: +1(865)574-4665"
